# Brian
# sorted alpha-numerically
# do NOT re-sort!
# 1287
TLA - Tlapanec.txt
TLC - Tlemcen.txt
TLD - Toledo.txt
TLG - Telingana.txt
TLL - Tillamook.txt
TLX - Tlaxcala.txt
TMB - Timbuktu.txt
TNA - TirnanGael.txt
TND - Tenda.txt
TNG - Tang.txt
TNI - Terni.txt
TNJ - Tanjore.txt
TNT - Trent.txt
TOA - Tournai.txt
TOK - Tonkin.txt
TOL - Toul.txt
TON - Tonala.txt
TOR - Tortuga.txt
TOT - Totonac.txt
TOU - Toulouse.txt
TPA - Tupinamba.txt
TPQ - Tupiniquim.txt
TPR - Tripura.txt
TRA - Transylvania.txt
TRE - Trebizond.txt
TRI - Trier.txt
TRN - Saint Pol.txt
TRO - Troppau.txt
TRP - Tripoli.txt
TRS - Transoxiana.txt
TRT - Tirhut.txt
TRV - Treviso.txt
TRY - Tyrconnell.txt
TSL - ThessalonicaCrusader.txt
TSM - Tsimshian.txt
TST - Trieste.txt
TTI - Tsutsui.txt
TTL - Three Leagues.txt
TTN - Tortona.txt
TTS - Two Sicilies.txt
TUA - Tapuia.txt
TUG - Tungur.txt
TUN - Tunisia.txt
TUR - Ottoman Empire.txt
TUS - Tuscany.txt
TVE - Tver.txt
TYO - Tyo.txt
TYR - Tyrone.txt
UBH - Buha.txt
UBV - Munich.txt
UES - Uesugi.txt
UHU - UpperHungary.txt
UKR - Ukraine.txt
ULM - Ulm.txt
ULS - Ulster.txt
UMB - Umbria.txt
UNK - UnitedKingdomBT.txt
UNZ - Unaizah.txt
URB - Urbino.txt
USA - United States.txt
UTE - Ute.txt
UTN - Utsunomiya.txt
UTR - Utrecht.txt
UTS - Utsang.txt
VLN - Valencia.txt
VBZ - Velbazhd.txt
VCL - Vercelli.txt
VCZ - Vicenza.txt
VDN - Verdun.txt
VEN - Venice.txt
VEP - Vepsia.txt
VER - Verden.txt
VIE - Vientiane.txt
VIJ - Vijayanagar.txt
VIN - Viet Nam.txt
VLD - Vladimir-Suzdal.txt
VLG - Vologda.txt
VLR - Volterra.txt
VLT - Velletri.txt
VND - Venad.txt
VNE - Vienne.txt
VNZ - Venezuela.txt
VOL - Volyn.txt
VRM - Vermont.txt
VRN - Verona.txt
VTN - Vorotynsk.txt
VYA - Vyatka.txt
WAL - Wallachia.txt
WAR - Warsangali.txt
WAS - Washoe.txt
WBG - Wurzburg.txt
WCO - West Connacht.txt
WCR - Cree.txt
WES - Westfalia.txt
WEX - Wexford.txt
WIC - Wichita.txt
WJO - Wajo.txt
WKA - Wanka.txt
WLS - Wales.txt
WLY - Welayta.txt
WMC - WelshMarches.txt
WNS - Ouarsenis.txt
WOL - Wolgast.txt
WPK - Wielkopolska.txt
WRM - Warmia.txt
WRU - Wurundjeri.txt # new in 1.31
WSI - WestIndies.txt
WSX - Wessex.txt
WTF - Waterford.txt
WTL - Wethali.txt
WUR - Wurttemberg.txt
WUU - Wu.txt
WWI - Mayoo.txt
WWJ - Opata.txt
XAL - Xalisco.txt
XIU - Xiu.txt
XXK - Maliseet.txt
YAK - Yaka.txt
YAN - Yan.txt
YAO - Yao.txt
YAQ - Yaqui.txt
YAR - Yaroslavl.txt
YAS - Beni Yas.txt
YAT - Yatenga.txt
YEM - Yemen.txt
YGK - Yogyakarta.txt
YGW - Yawnghwe.txt
YKT - Yokuts.txt
YLT - Yelets.txt
YMN - Yamana.txt
YNU - Yanuwa.txt # new in 1.31
YOK - Yokot'an.txt
YOL - Yolngu.txt # new in 1.31
YOR - Andhra.txt
YPK - Yupik.txt
YUA - Yuan.txt
YUE - Yue.txt
YYA - Denaina.txt
YYB - Aleut.txt
YYC - Tanana.txt
YYD - Gwichin.txt
YYE - Koyukon.txt
YYF - Inyupik.txt
YYG - Nuxalk.txt
YYH - Chimakum.txt
YYI - InlandSalish.txt
YYJ - Carrier.txt
YYK - YnystKedyrn.txt
YYL - Yakama.txt
YYM - Umpqua.txt
YYN - Paiute.txt
YYO - Tongva.txt
YYP - Wiyot.txt
YYQ - Hupa.txt
YYR - Shastan.txt
YYS - Salinan.txt
YYT - Maidu.txt
YYU - Cocopah.txt
YYV - Seri.txt
YYW - Waikuri.txt
YYX - PlainsCree.txt
YYY - WoodsCree.txt
YYZ - OjiCree.txt
YZA - Tutchone.txt
YZB - Lakota.txt
YZC - Salteaux.txt
YZD - Yazd.txt
YZE - Tuniit.txt
YZG - Laurentian.txt
YZH - Missisauga.txt
YZI - NeutralConfederacy.txt
YZW - HawaiiNation.txt
YZZ - Kalaallisut.txt
ZAB - Zab.txt
ZAF - Zafunu.txt
ZAN - Zwahili.txt
ZAP - Zapotec.txt
ZAZ - Zaporozhie.txt
ZBT - Zubtsov.txt
ZEA - Zealand.txt
ZIA - Zia.txt
ZIM - Mutapa.txt
ZND - Zenden.txt
ZNI - Zuni.txt
ZUN - Zunghar.txt
ZZZ - Zazzau.txt
